,1개 -25개,26개-50개,51개-80개,80개 이상
가스레인지,2,0,0,0
개수대류,8,0,0,0
고무통,3,0,0,0
골프가방,5,0,0,0
난로,3,0,0,0
도마,4,0,0,0
비데,9,0,0,0
변기통,8,0,0,0
보행기,3,0,0,0
빨래건조대,7,0,0,0
파티션,7,0,0,0
피아노,3,0,0,0
항아리류,8,0,0,0
헬스자전거,3,0,0,0
화장대,8,0,0,0
히터류,3,0,0,0
자전거,5,0,0,0
장롱,8,0,0,0
카펫,8,0,0,0
캐비닛류,9,0,0,0
커튼,3,0,0,0
식기건조기,2,0,0,0
텐트,4,0,0,0
다리미판,12,0,0,0
김치냉장고,14,0,0,0
욕조,12,0,0,0
텔레비전,13,0,0,0
에어컨,3,0,0,0
책꽂이,2,0,0,0
문짝,21,0,0,0
유모차,23,0,0,0
세탁기,23,0,0,0
전기담요,14,0,0,0
수납장,16,0,0,0
식탁,16,0,0,0
아이스박스,21,0,0,0
옷걸이류,17,0,0,0
복사기,0,30,0,0
선풍기,0,29,0,0
완구류,0,27,0,0
가방,0,42,0,0
장판,0,44,0,0
청소기,0,31,0,0
액자,0,0,53,0
거울,0,0,53,0
돗자리,0,0,37,0
냉장고,0,0,68,0
타이어,0,0,58,0
소파,0,0,78,0
수납장,0,0,0,216
의자,0,0,0,334
책상,0,0,0,230
침대,0,0,0,83
